id,wine_name,winery_id,appellation_id,wine_year,wine_varietal_id,create_dt,bottle_size,image_file,image_type,overall_rating,description
1,Syrah,5,224,nv,88,"2013-11-25 20:00:00",750ml,label_image_00000.jpg,jpg,89,Syrah
2,"Sauvignon Blanc",7,225,2012,81,"2013-11-25 20:00:01",750ml,label_image_00000.jpg,jpg,89,"marllborough New Zealand"
3,"Sierra Foothills",1,151,2006,7,"2013-11-25 20:00:02",750ml,label_image_00000.jpg,jpg,89,"Sierra Foothills"
4,"Monterey Oakless",1,95,2010,16,"2013-11-25 20:00:03",750ml,label_image_00003.jpg,jpg,94,"Monterey Oakless"
5,"Monterey Barrel Aged",1,95,2003,16,"2013-11-25 20:00:04",750ml,label_image_00002.jpg,jpg,92,"Monterey Barrel Aged"
6,"El Dorado Estate Late Harvest Zinfandel",1,49,2011,32,"2013-11-25 20:00:05",750ml,label_image_00000.jpg,jpg,89,"El Dorado Estate"
7,"Nocturne El Dorado",1,49,2004,101,"2013-11-25 20:00:06",375ml,label_image_00000.jpg,jpg,89,"Nocturne El Dorado"
8,"El Dorado Estate",1,49,2006,64,"2013-11-25 20:00:07",750ml,label_image_00000.jpg,jpg,89,"El Dorado Estate"
9,"El Dorado Estate",1,49,2009,64,"2013-11-25 20:00:08",750ml,label_image_00000.jpg,jpg,89,"El Dorado Estate"
10,"Vintage Dessert Wine Lodi",1,78,2002,64,"2013-11-25 20:00:09",375ml,label_image_00000.jpg,jpg,89,"Vintage Dessert Wine Lodi"
11,"Petite Sirah Vintage Dessert wine",1,49,2002,64,"2013-11-25 20:00:10",375ml,label_image_00000.jpg,jpg,89,"Petite Sirah Vintage Dessert wine"
12,"Petite Suite",1,49,2007,64,"2013-11-25 20:00:11",375ml,label_image_00000.jpg,jpg,89,"Petite Suite"
13,"El Dorado Estate",1,49,2010,86,"2013-11-25 20:00:12",750ml,label_image_00000.jpg,jpg,89,"El Dorado Estate"
14,"El Dorado",1,49,2009,86,"2013-11-25 20:00:13",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
15,Monterey,1,95,2003,64,"2013-11-25 20:00:14",750ml,label_image_00000.jpg,jpg,89,Monterey
16,"El Dorado",1,46,2003,88,"2013-11-25 20:00:15",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
17,"El Dorado Herbert Vineyard",1,46,2008,101,"2013-11-25 20:00:16",750ml,label_image_00000.jpg,jpg,89,"El Dorado Herbert Vineyard"
18,"Reserve Naylor",4,46,2006,7,"2013-11-25 20:00:17",750ml,label_image_00000.jpg,jpg,89,"Reserve Naylor"
19,"Fairplay Estate",4,46,2008,103,"2013-11-25 20:00:18",750ml,label_image_00000.jpg,jpg,89,"Fairplay Estate"
20,"Bottle Your Own",4,46,nv,47,"2013-11-25 20:00:19",750ml,label_image_00000.jpg,jpg,89,"Bottle Your Own"
21,Estate,4,46,2007,64,"2013-11-25 20:00:20",750ml,label_image_00000.jpg,jpg,89,Estate
22,"Green Vineyards",4,46,2007,88,"2013-11-25 20:00:21",750ml,label_image_00000.jpg,jpg,89,"Green Vineyards"
23,Reserve,4,46,2004,88,"2013-11-25 20:00:22",750ml,label_image_00000.jpg,jpg,89,Reserve
24,"Reserve El Dorado",4,46,2005,88,"2013-11-25 20:00:23",750ml,label_image_00000.jpg,jpg,89,"Reserve El Dorado"
25,"El Dorado",4,46,2007,101,"2013-11-25 20:00:24",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
26,"El Dorado",4,46,2007,101,"2013-11-25 20:00:25",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
27,"Bottle Your Own",4,46,nv,101,"2013-11-25 20:00:26",750ml,label_image_00000.jpg,jpg,89,"Bottle Your Own"
28,Bordeau,8,226,2010,103,"2013-11-25 20:00:27",750ml,label_image_00000.jpg,jpg,89,Bordeau
29,"Sierra Foothills",9,151,2010,103,"2013-11-25 20:00:28",750ml,label_image_00000.jpg,jpg,89,"Sierra Foothills"
30,"El Dorado",9,49,2011,7,"2013-11-25 20:00:29",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
31,"El Dorado",9,49,2009,32,"2013-11-25 20:00:30",750ml,label_image_00000.jpg,jpg,89,"El Dorado"
32,"Sierra Foothills",9,151,2009,103,"2013-11-25 20:00:31",750ml,label_image_00000.jpg,jpg,89,"Sierra Foothills"
33,"El Dorado",9,46,2009,90,"2013-11-25 20:00:32",500ml,label_image_00000.jpg,jpg,89,"El Dorado"
34,"Fairplay Estate",9,49,2005,79,"2013-11-25 20:00:33",750ml,label_image_00000.jpg,jpg,89,"Fairplay Estate"
35,"Reserve Fairplay",9,49,2006,64,"2013-11-25 20:00:34",750ml,label_image_00000.jpg,jpg,89,"Reserve Fairplay"
36,"Paso Robles",10,116,2009,64,"2013-11-25 20:00:35",750ml,label_image_00000.jpg,jpg,89,"Paso Robles"
